State,State_Abr,Opioid_Factor,Crime_Percent,Homeless_Percent,Average_Income,Unemployment_Percent,Population,Year
Arizona,AZ,26000000000,4.63,0.2,54849,4.5,6280362,2008
Idaho,ID,3640000000,2.34,0.1,55441,4.8,1534320,2008
Connecticut,CT,8140000000,2.76,0.13,75623,5.4,3545579,2008
New Jersey,NJ,30300000000,2.61,0.16,76352,5.2,8711090,2008
New Mexico,NM,6820000000,4.41,0.15,49223,3.7,2010662,2008
Texas,TX,89900000000,4.5,0.17,54353,4.7,24309039,2008
Louisiana,LA,17300000000,4.53,0.12,46255,4.4,4435586,2008
North Carolina,NC,71200000000,4.47,0.13,50191,5.3,9309449,2008
North Dakota,ND,6480000000,2.15,0.09,58026,3.8,657569,2008
Nebraska,NE,2080000000,3.17,0.22,59308,3.6,1796378,2008
Tennessee,TN,37700000000,4.75,0.16,46417,5.9,6247411,2008
New York,NY,34200000000,2.43,0.32,58996,5.3,19212436,2008
Pennsylvania,PA,38100000000,2.79,0.12,60096,5.4,12612285,2008
Alaska,AK,2130000000,3.51,0.24,74812,7.2,687455,2008
Nevada,NV,12400000000,4.1,0.33,64004,5.9,2653630,2008
New Hampshire,NH,4750000000,2.29,0.15,77369,4,1315906,2008
Washington,WA,21600000000,4.09,0.33,66210,5.2,6562231,2008
Delaware,DE,2320000000,4.25,0.11,59278,4.2,883874,2008
Wisconsin,WI,8670000000,3.03,0.1,59860,4.9,5640996,2008
West Virginia,WV,8170000000,2.79,0.11,44420,4.8,1840310,2008
Hawaii,HI,3340000000,3.71,0.45,71927,2.9,1332213,2008
Massachusetts,MA,13800000000,2.87,0.22,70523,5.2,6468967,2008
Florida,FL,295000000000,4.78,0.27,52444,5,18527305,2008
Wyoming,WY,1070000000,2.9,0.14,62359,3.7,546043,2008
Maine,ME,3360000000,2.56,0.2,55216,5.6,1330509,2008
Maryland,MD,15700000000,4.11,0.16,74487,3.9,5684965,2008
Oklahoma,OK,28700000000,3.96,0.1,53910,3.8,3668976,2008
Ohio,OH,86000000000,3.76,0.11,54873,6.4,11515391,2008
Utah,UT,7910000000,3.7,0.13,73115,3.4,2663029,2008
Missouri,MO,33000000000,4.16,0.13,53825,5.8,5923916,2008
Minnesota,MN,5620000000,3.11,0.15,64215,5.5,5247018,2008
Michigan,MI,32100000000,3.48,0.28,58209,7.9,9946889,2008
Rhode Island,RI,2630000000,3.09,0.11,62246,7.4,1055003,2008
Kansas,KS,104000000000,3.8,0.06,55975,4.3,2808076,2008
Montana,MT,3870000000,2.99,0.15,50156,4.9,976415,2008
Mississippi,MS,14300000000,3.24,0.07,42611,6.5,2947806,2008
South Carolina,SC,225000000000,4.92,0.12,49285,6,4528996,2008
Kentucky,KY,88100000000,2.96,0.19,48108,6.2,4289878,2008
Oregon,OR,13700000000,3.58,0.55,60476,6,3768748,2008
South Dakota,SD,2230000000,1.99,0.07,60328,3.2,799124,2008
Virginia,VA,36200000000,2.68,0.11,70981,6.2,7925937,2009
Colorado,CO,11600000000,3.04,0.31,65618,7.3,4972195,2009
California,CA,472000000000,0.47,0.33,65858,10.3,36961229,2009
Alabama,AL,20400000000,3.99,0.13,46905,8.7,4757938,2009
Arkansas,AR,11800000000,4.28,0.1,42867,7.5,2896843,2009
Vermont,VT,99200000000,2.54,0.19,61381,7.1,624817,2009
Illinois,IL,66300000000,3.26,0.11,62028,8.7,12796778,2009
Georgia,GA,186000000000,4.19,0.21,50848,8.7,9620846,2009
Indiana,IN,20000000000,3.43,0.11,51980,9.8,6459325,2009
Iowa,IA,4260000000,2.59,0.11,59507,6.2,3032870,2009
Arizona,AZ,36000000000,3.65,0.23,53662,8.2,6343154,2009
Idaho,ID,14100000000,2.25,0.12,54881,7.9,1554439,2009
Connecticut,CT,6780000000,2.62,0.13,76085,7.7,3561807,2009
New Jersey,NJ,136000000000,2.37,0.15,75998,8.2,8755602,2009
New Mexico,NM,10700000000,4.29,0.17,51084,6,2036802,2009
Texas,TX,159000000000,4.5,0.15,55499,6.8,24801761,2009
Louisiana,LA,27300000000,4.49,0.28,53303,6.1,4491648,2009
North Carolina,NC,93500000000,4.04,0.14,49165,9.8,9449566,2009
North Dakota,ND,10200000000,2.19,0.12,58749,5.2,664968,2009
Nebraska,NE,4470000000,3.03,0.21,58186,4.9,1812683,2009
Tennessee,TN,43100000000,4.43,0.17,47535,9.8,6306019,2009
New York,NY,34200000000,2.34,0.32,58945,7.7,19307066,2009
Pennsylvania,PA,73900000000,2.57,0.12,56517,7.6,12666858,2009
Alaska,AK,1570000000,3.55,0.29,72275,8.2,698895,2009
Nevada,NV,11200000000,3.71,0.41,60344,10.4,2684665,2009
New Hampshire,NH,3340000000,2.35,0.12,75240,5.8,1316102,2009
Washington,WA,24700000000,4.01,0.34,70853,8.3,6667426,2009
Delaware,DE,2970000000,3.97,0.13,61141,7.6,891730,2009
Wisconsin,WI,11900000000,2.86,0.12,60112,7.7,5669264,2009
West Virginia,WV,25700000000,2.8,0.09,47504,6.7,1847775,2009
Hawaii,HI,2450000000,3.79,0.43,65289,6,1346717,2009
Massachusetts,MA,12700000000,2.82,0.24,69658,7.9,6517613,2009
Florida,FL,341000000000,4.43,0.3,53535,8.9,18652644,2009
Wyoming,WY,2890000000,2.76,0.09,61559,5.5,559851,2009
Maine,ME,3710000000,2.5,0.18,55730,8.4,1329590,2009
Maryland,MD,21900000000,3.77,0.2,75305,6.6,5730388,2009
Oklahoma,OK,43600000000,4.06,0.13,53825,5.4,3717572,2009
Ohio,OH,100000000000,3.6,0.11,53826,9.6,11528896,2009
Utah,UT,9330000000,3.59,0.14,68623,6,2723421,2009
Missouri,MO,38500000000,3.88,0.12,57217,8.9,5961088,2009
Minnesota,MN,20800000000,2.88,0.15,65806,8.3,5281203,2009
Michigan,MI,43900000000,3.37,0.14,53961,12.4,9901591,2009
Rhode Island,RI,3110000000,2.87,0.15,60578,10.8,1053646,2009
Kansas,KS,14300000000,3.61,0.07,52463,6.3,2832704,2009
Montana,MT,4640000000,2.81,0.12,47442,6.7,983982,2009
Mississippi,MS,17600000000,3.24,0.09,41154,8.9,2958774,2009
South Carolina,SC,254000000000,4.56,0.1,48221,10.8,4589872,2009
Kentucky,KY,105000000000,2.78,0.14,50054,10,4317074,2009
Oregon,OR,14600000000,3.28,0.45,57603,10.8,3808600,2009
South Dakota,SD,1870000000,2,0.09,53764,5,807067,2009
Virginia,VA,24300000000,2.55,0.11,69675,7.8,8023680,2010
Colorado,CO,12900000000,3,0.31,69520,9.5,5048281,2010
California,CA,678000000000,0.44,0.33,62652,13,37320903,2010
Alabama,AL,22300000000,3.74,0.13,47244,10.9,4785448,2010
Arkansas,AR,10400000000,4.06,0.09,44536,8.9,2921978,2010
Vermont,VT,1730000000,2.39,0.19,64551,7.6,625880,2010
Illinois,IL,85000000000,3.16,0.11,58549,12.1,12840762,2010
Georgia,GA,196000000000,4.04,0.17,50919,10.7,9711810,2010
Indiana,IN,24900000000,3.39,0.1,53253,11.5,6490436,2010
Iowa,IA,6410000000,2.52,0.1,56573,7,3050767,2010
Arizona,AZ,29000000000,3.91,0.21,54127,10.6,6407774,2010
Idaho,ID,5720000000,2.22,0.15,54304,10.2,1570773,2010
Connecticut,CT,6520000000,2.47,0.12,76174,9.9,3579125,2010
New Jersey,NJ,73500000000,2.39,0.16,72677,10.4,8799624,2010
New Mexico,NM,9520000000,4.02,0.17,52093,8.3,2064588,2010
Texas,TX,190000000000,4.22,0.14,54554,8.6,25242679,2010
Louisiana,LA,26200000000,4.2,0.27,45359,7.9,4544532,2010
North Carolina,NC,116000000000,3.8,0.13,50588,12.1,9574293,2010
North Dakota,ND,9420000000,2.01,0.12,58870,5,674710,2010
Nebraska,NE,3540000000,2.95,0.21,60599,5.7,1829536,2010
Tennessee,TN,44000000000,4.28,0.16,44541,11.2,6355301,2010
New York,NY,37200000000,2.35,0.34,57456,9.6,19400080,2010
Pennsylvania,PA,56800000000,2.54,0.11,55763,9.5,12711158,2010
Alaska,AK,1670000000,3.45,0.26,66767,9.3,713906,2010
Nevada,NV,13500000000,3.44,0.41,59094,15.3,2702464,2010
New Hampshire,NH,3710000000,2.39,0.12,76907,7.3,1316777,2010
Washington,WA,109000000000,4.01,0.34,64822,10.9,6742902,2010
Delaware,DE,3030000000,4.08,0.11,63727,9.3,899595,2010
Wisconsin,WI,14300000000,2.76,0.11,58114,10,5690479,2010
West Virginia,WV,84200000000,2.53,0.12,49372,9.8,1854214,2010
Hawaii,HI,2920000000,3.61,0.43,68719,7,1363963,2010
Massachusetts,MA,11900000000,2.82,0.25,70329,9.6,6566431,2010
Florida,FL,694000000000,4.09,0.31,50860,11.5,18845785,2010
Wyoming,WY,1420000000,2.65,0.1,60249,8.7,564483,2010
Maine,ME,4500000000,2.6,0.18,55321,9.5,1327632,2010
Maryland,MD,19300000000,3.54,0.19,74100,8.2,5788642,2010
Oklahoma,OK,18700000000,3.92,0.14,49749,7.9,3759632,2010
Ohio,OH,47300000000,3.58,0.11,52961,11.6,11539327,2010
Utah,UT,9170000000,3.4,0.12,65443,8.4,2775334,2010
Missouri,MO,29000000000,3.81,0.14,52881,10.3,5995976,2010
Minnesota,MN,9450000000,2.8,0.15,60388,8.7,5310843,2010
Michigan,MI,43000000000,3.24,0.13,53411,14.4,9877535,2010
Rhode Island,RI,2420000000,2.81,0.12,59582,12.8,1053938,2010
Kansas,KS,26100000000,3.49,0.07,53155,7.9,2858213,2010
Montana,MT,3860000000,2.84,0.16,47645,8.2,990722,2010
Mississippi,MS,20300000000,3.25,0.09,44044,12,2970536,2010
South Carolina,SC,174000000000,4.51,0.1,48127,12.4,4635656,2010
Kentucky,KY,131000000000,2.8,0.15,47442,11.9,4348200,2010
Oregon,OR,22900000000,3.29,0.51,58404,12,3837532,2010
South Dakota,SD,1290000000,2.13,0.09,52344,6,816165,2010
Virginia,VA,23900000000,2.46,0.11,70062,6.9,8100469,2011
Colorado,CO,13000000000,2.91,0.3,65601,9.3,5121771,2011
California,CA,756000000000,0.41,0.33,59713,12.7,37641823,2011
Alabama,AL,23400000000,3.99,0.12,47654,10,4798834,2011
Arkansas,AR,14500000000,4.24,0.12,46213,9,2940407,2011
Vermont,VT,1690000000,2.55,0.18,58029,6.9,626979,2011
Illinois,IL,43600000000,3.1,0.11,56658,10.1,12867291,2011
Georgia,GA,342000000000,4.02,0.21,51440,10.4,9801578,2011
Indiana,IN,21900000000,3.49,0.1,49730,9.8,6516045,2011
Iowa,IA,6000000000,2.61,0.1,56191,7,3066054,2011
Arizona,AZ,31300000000,3.89,0.16,54403,10.2,6473497,2011
Idaho,ID,4380000000,2.28,0.14,53102,10.1,1583828,2011
Connecticut,CT,7370000000,2.43,0.12,73194,9.9,3588023,2011
New Jersey,NJ,96300000000,2.46,0.16,69751,10,8827783,2011
New Mexico,NM,8620000000,4.11,0.17,46974,7.9,2080395,2011
Texas,TX,149000000000,3.89,0.14,54879,8.4,25646227,2011
Louisiana,LA,31000000000,4.24,0.2,45493,8.5,4575184,2011
North Carolina,NC,128000000000,3.84,0.13,50581,11.1,9656754,2011
North Dakota,ND,7960000000,2.19,0.09,63063,4.4,685136,2011
Nebraska,NE,3280000000,3.02,0.19,62229,5.2,1840538,2011
Tennessee,TN,59700000000,4.22,0.14,47306,10.2,6397410,2011
New York,NY,58300000000,2.3,0.33,56657,8.9,19498514,2011
Pennsylvania,PA,74100000000,2.59,0.12,55845,8.7,12744583,2011
Alaska,AK,1370000000,3.23,0.29,64260,8.8,722038,2011
Nevada,NV,17700000000,3.15,0.34,52637,14.3,2712799,2011
New Hampshire,NH,3730000000,2.7,0.11,73714,6.2,1319815,2011
Washington,WA,22900000000,3.88,0.3,63610,10.4,6821655,2011
Delaware,DE,3350000000,4,0.11,61160,8.1,907316,2011
Wisconsin,WI,52400000000,2.7,0.1,58248,8.5,5704755,2011
West Virginia,WV,9660000000,2.4,0.12,46794,9.2,1856074,2011
Hawaii,HI,50000000000,3.43,0.45,66068,6.7,1379252,2011
Massachusetts,MA,12400000000,2.68,0.25,90842,8.6,6613149,2011
Florida,FL,359000000000,4.03,0.3,50468,11.1,19093352,2011
Wyoming,WY,1550000000,2.49,0.18,60991,7.4,567224,2011
Maine,ME,4320000000,2.67,0.18,55602,8.9,1328150,2011
Maryland,MD,17300000000,3.35,0.17,77066,7.7,5838991,2011
Oklahoma,OK,15700000000,3.83,0.12,54217,6.7,3787821,2011
Ohio,OH,44000000000,3.6,0.11,49957,10,11543463,2011
Utah,UT,9140000000,3.18,0.11,62092,7.9,2814216,2011
Missouri,MO,49100000000,3.76,0.15,51217,9.7,6009641,2011
Minnesota,MN,11700000000,2.78,0.14,64695,7.6,5345668,2011
Michigan,MI,115000000000,2.99,0.13,54691,11.6,9881521,2011
Rhode Island,RI,2730000000,2.9,0.1,54864,12.3,1053536,2011
Kansas,KS,60900000000,3.45,0.09,51634,7.5,2869035,2011
Montana,MT,4030000000,2.67,0.18,45066,8.1,997221,2011
Mississippi,MS,22900000000,3.28,0.08,45976,11,2978470,2011
South Carolina,SC,177000000000,4.52,0.11,44850,11.1,4671422,2011
Kentucky,KY,61600000000,2.96,0.14,44595,10.7,4369488,2011
Oregon,OR,16100000000,3.4,0.45,57653,10.7,3871728,2011
South Dakota,SD,2210000000,2.11,0.1,52838,5.6,823484,2011
Virginia,VA,45800000000,2.37,0.1,70818,6.4,8185229,2012
Colorado,CO,14400000000,2.99,0.32,62735,8.8,5193721,2012
California,CA,950000000000,0.42,0.32,62477,11.4,37960782,2012
Alabama,AL,130000000000,3.77,0.11,47624,7.7,4815564,2012
Arkansas,AR,12100000000,4.17,0.14,42752,8.3,2952109,2012
Vermont,VT,1760000000,2.64,0.19,60901,5.8,626063,2012
Illinois,IL,41200000000,3,0.11,56690,9.7,12884119,2012
Georgia,GA,302000000000,3.81,0.21,51276,9.6,9901496,2012
Indiana,IN,20100000000,3.37,0.1,50575,9.1,6537640,2012
Iowa,IA,5310000000,2.55,0.1,58557,6.2,3076097,2012
Arizona,AZ,30500000000,3.83,0.17,51546,8.8,6556629,2012
Idaho,ID,5310000000,2.2,0.12,52508,8.7,1595441,2012
Connecticut,CT,7050000000,2.43,0.12,70396,8.8,3594395,2012
New Jersey,NJ,37400000000,2.34,0.15,73075,9.7,8845483,2012
New Mexico,NM,9050000000,4.16,0.16,47580,7.2,2087549,2012
Texas,TX,82400000000,3.77,0.13,56896,7.5,26089620,2012
Louisiana,LA,20200000000,4.03,0.17,42826,7.6,4600814,2012
North Carolina,NC,116000000000,3.72,0.14,45530,10.1,9749123,2012
North Dakota,ND,8370000000,2.28,0.1,61103,3.9,701116,2012
Nebraska,NE,4050000000,3.02,0.2,57191,4.6,1853323,2012
Tennessee,TN,48300000000,4.02,0.15,47110,8.8,6451281,2012
New York,NY,43500000000,2.32,0.36,52243,9.1,19574549,2012
Pennsylvania,PA,76400000000,2.52,0.12,56871,8.2,12766827,2012
Alaska,AK,1500000000,3.35,0.26,69739,8.1,730399,2012
Nevada,NV,41100000000,3.43,0.31,51863,12.4,2744566,2012
New Hampshire,NH,3800000000,2.64,0.11,74310,5.9,1323962,2012
Washington,WA,26900000000,3.99,0.3,68139,9.3,6892876,2012
Delaware,DE,5510000000,3.91,0.11,53659,7.5,915188,2012
Wisconsin,WI,61700000000,2.75,0.11,58159,7.7,5719855,2012
West Virginia,WV,15300000000,2.72,0.13,47721,7.8,1856764,2012
Hawaii,HI,53600000000,3.35,0.45,61645,6.3,1394905,2012
Massachusetts,MA,12200000000,2.56,0.26,69748,7.5,6663158,2012
Florida,FL,159000000000,3.76,0.29,50480,9.3,19326230,2012
Wyoming,WY,2030000000,2.5,0.31,63016,6.6,576270,2012
Maine,ME,4340000000,2.64,0.18,53863,8.4,1327691,2012
Maryland,MD,42500000000,3.23,0.16,78711,7.2,5887072,2012
Oklahoma,OK,12000000000,3.9,0.13,53040,5.9,3818600,2012
Ohio,OH,43800000000,3.51,0.12,48622,8.5,11548369,2012
Utah,UT,10300000000,3.23,0.12,63924,6.3,2853467,2012
Missouri,MO,71600000000,3.77,0.17,54527,7.6,6024081,2012
Minnesota,MN,8420000000,2.8,0.14,67709,6.5,5376550,2012
Michigan,MI,33700000000,2.97,0.13,54802,10,9896930,2012
Rhode Island,RI,3330000000,2.82,0.12,61431,11.6,1054601,2012
Kansas,KS,18400000000,3.51,0.09,54788,6.3,2885361,2012
Montana,MT,3540000000,2.88,0.18,49403,7.2,1003754,2012
Mississippi,MS,22800000000,3.07,0.08,40148,10,2983767,2012
South Carolina,SC,202000000000,4.4,0.1,48650,9.9,4717112,2012
Kentucky,KY,21800000000,2.8,0.12,45018,9.2,4386381,2012
Oregon,OR,17300000000,3.49,0.41,56730,9.8,3899118,2012
South Dakota,SD,1930000000,2.38,0.1,54144,4.9,833496,2012
